,,,,,,,,,,
2874001,https://api.github.com/repos/chrisbanes/Android-PullToRefresh,Android-PullToRefresh,chrisbanes,True,30,8408,4286,5151,DEPRECATED,
31929346,https://api.github.com/repos/googlesamples/android-UniversalMusicPlayer,android-UniversalMusicPlayer,googlesamples,True,33,8401,7816,2730,"This sample shows how to implement an audio media app that works across multiple form factors and provide a consistent user experience on Android phones, tablets, Auto, Wear and Cast devices",
26568234,https://api.github.com/repos/liaohuqiu/android-Ultra-Pull-To-Refresh,android-Ultra-Pull-To-Refresh,liaohuqiu,True,153,8385,3474,2713,Ultra Pull to Refresh for Android. Support all the views.,
2990192,https://api.github.com/repos/WhisperSystems/Signal-Android,Signal-Android,WhisperSystems,True,1029,8199,119350,2197,A private messenger for Android.,
21113349,https://api.github.com/repos/daimajia/AndroidViewAnimations,AndroidViewAnimations,daimajia,True,34,8178,288,1892,Cute view animation collection.,android animation easing-functions
30120110,https://api.github.com/repos/mikepenz/MaterialDrawer,MaterialDrawer,mikepenz,True,4,8170,20325,1676,"The flexible, easy to use, all in one drawer library for your Android project.",android android-development android-library android-ui drawer drawer-support drawerlayout java material-components material-design material-theme material-ui materialdrawer mikepenz navigation-drawer
26363421,https://api.github.com/repos/ksoichiro/Android-ObservableScrollView,Android-ObservableScrollView,ksoichiro,True,169,8050,13780,1953,Android library to observe scroll events on scrollable views.,android android-library android-ui material-design
16005410,https://api.github.com/repos/hdodenhof/CircleImageView,CircleImageView,hdodenhof,False,35,8013,956,2127,A circular ImageView for Android,android imageview widget
6834703,https://api.github.com/repos/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,FizzBuzzEnterpriseEdition,EnterpriseQualityCoding,True,202,7953,284,410,FizzBuzz Enterprise Edition is a no-nonsense implementation of FizzBuzz made by serious businessmen for serious business purposes.,
17804584,https://api.github.com/repos/winterbe/java8-tutorial,java8-tutorial,winterbe,True,6,7932,140,1496,Modern Java - A Guide to Java 8,guide java java-8 lambda-expressions learning parallel-streams stream tutorial
20818126,https://api.github.com/repos/google/ExoPlayer,ExoPlayer,google,False,220,7824,53231,2626,An extensible media player for Android,android exoplayer java mediaplayer
